id,age,term,annual_contribution,growth_rate,takaful_benefit,year_one,year_two,year_three,year_four,year_five,year_six,year_seven,year_eight,year_nine,year_ten,year_eleven,year_twelve,year_thirteen,year_fourteen,year_fifteen,year_sixteen,year_seventeen,year_eighteen,year_nineteen,year_twenty,year_twenty_one,year_twenty_two,year_twenty_three,year_twenty_four,year_twenty_five,created_at
128,49,25,104000,0.09,520000,57485.5,130777,241414,360447,499534,638116,807493,967508,1138640,1353400,1551390,1763120,1989560,2231710,2543580,2824260,3124430,3445410,3788660,4208610,4604860,5028580,5481660,5966130,6537070,3/4/2025 0:34
129,50,10,200500,0.09,1002500,112191,254884,469738,701369,972326,1242700,1572880,1885490,2220060,2639340,,,,,,,,,,,,,,,,3/4/2025 0:34
130,50,15,145300,0.09,726500,80788.3,183597,338606,505667,701105,896038,1134180,1359430,1600450,1902670,2181710,2480270,2799710,3141460,3581030,,,,,,,,,,,3/4/2025 0:34
131,50,20,119300,0.09,596500,65997,150020,276841,413488,573355,732753,927538,1111650,1308600,1555680,1783610,2027420,2288210,2567160,2926220,3249670,3595640,3965680,4361480,4845500,,,,,,3/4/2025 0:34
132,50,25,104100,0.09,520500,57349.8,130390,240733,359599,498671,637294,806735,966797,1137980,1352830,1550880,1762670,1989180,2231410,2543410,2824180,3124440,3445530,3788880,4209010,4605390,5029240,5482470,5967110,6538270,3/4/2025 0:34
133,51,10,200800,0.09,1004000,112012,253938,468340,699703,970741,1241310,1571760,1884590,2219400,2639030,,,,,,,,,,,,,,,,3/4/2025 0:34
134,51,15,145500,0.09,727500,80648.3,182888,337549,504391,699859,894907,1133210,1358600,1599760,1902190,2181410,2480150,2799780,3141750,3581640,,,,,,,,,,,3/4/2025 0:34
135,51,20,119400,0.09,597000,65845.6,149354,275819,412210,572011,731414,926227,1110350,1307300,1554430,1782370,2026190,2287000,2565960,2925090,3248560,3594550,3964620,4360440,4844540,,,,,,3/4/2025 0:34
136,51,25,104200,0.09,521000,57224.8,129825,239870,358526,497555,636200,805685,965774,1136990,1351900,1549980,1761820,1988360,2230630,2542730,2823560,3123880,3445020,3788450,4208690,4605150,5029090,5482410,5967140,6538460,3/4/2025 0:34
137,52,10,201200,0.09,1006000,111673,252917,466873,698002,969207,1240080,1570920,1884100,2219290,2639430,,,,,,,,,,,,,,,,3/4/2025 0:34
138,52,15,145700,0.09,728500,80351.7,182032,336271,502836,698296,893436,1131880,1357380,1598650,1901270,2180630,2479520,2799310,3141440,3581620,,,,,,,,,,,3/4/2025 0:34
139,52,20,119600,0.09,598000,65622.3,148697,274853,411056,570895,730423,925409,1109680,1306790,1554140,1782270,2026280,2287300,2566480,2925960,3249700,3595970,3966340,4362490,4847040,,,,,,3/4/2025 0:34
140,52,25,104300,0.09,521500,56987.9,129156,238849,357253,496211,634863,804375,964473,1135690,1350650,1548740,1760590,1987150,2229440,2541600,2822450,3122790,3443970,3787410,4207740,4604230,5028210,5481570,5966340,6537760,3/4/2025 0:34
141,53,10,201600,0.09,1008000,111353,251801,465213,696040,967368,1238510,1569740,1883240,2218770,2639410,,,,,,,,,,,,,,,,3/4/2025 0:34
142,53,15,145900,0.09,729500,80069.4,181109,334856,501094,696514,891732,1130300,1355890,1597260,1900050,2179520,2478530,2798450,3140730,3581160,,,,,,,,,,,3/4/2025 0:34
143,53,20,119700,0.09,598500,65354.5,147857,273539,409396,569111,728614,923594,1107840,1304920,1552270,1780360,2024350,2285320,2564470,2923960,3247650,3593880,3964210,4360310,4844860,,,,,,3/4/2025 0:34
144,53,25,104400,0.09,522000,56761.4,128439,237732,355847,494712,633358,802886,962980,1134200,1349180,1547270,1759110,1985670,2227950,2540170,2821020,3121360,3442530,3785980,4206350,4602850,5026830,5480190,5964970,6536440,3/4/2025 0:34
145,54,10,202100,0.09,1010500,111021,250621,463499,694062,965596,1237120,1568860,1882810,2218820,2640120,,,,,,,,,,,,,,,,3/4/2025 0:34
146,54,15,146200,0.09,731000,79794.8,180175,333467,499439,694918,890327,1129160,1354980,1596590,1899720,2179480,2478790,2799040,3141660,3582620,,,,,,,,,,,3/4/2025 0:34
147,54,20,119900,0.09,599500,65103.3,147032,272290,407872,567569,727165,922286,1106640,1303840,1551380,1779610,2023750,2284880,2564210,2923980,3247880,3594330,3964890,4361240,4846160,,,,,,3/4/2025 0:34
148,54,25,104600,0.09,523000,56556.5,127751,236699,354603,493483,632246,801939,962169,1133530,1348730,1546990,1759020,1985780,2228270,2540810,2821910,3122510,3443970,3787730,4208530,4605390,5029750,5483530,5968740,6540790,3/4/2025 0:34
149,55,10,202500,0.09,1012500,110566,249133,461280,691393,962942,1234690,1566740,1880940,2217230,2638950,,,,,,,,,,,,,,,,3/4/2025 0:34
150,55,15,146500,0.09,732500,79471,179111,331882,497536,693034,888614,1127690,1353710,1595530,1898990,2179000,2478590,2799120,3142060,3583500,,,,,,,,,,,3/4/2025 0:34
151,55,20,120100,0.09,600500,64812,146101,270880,406146,565791,725465,920709,1105150,1302450,1550160,1778510,2022770,2284040,2563500,2923530,3247600,3594230,3964990,4361550,4846800,,,,,,3/4/2025 0:34
152,55,25,104700,0.09,523500,56261,126845,235296,352836,491566,630295,799971,960163,1131480,1346670,1544880,1756870,1983570,2226010,2538540,2819580,3120120,3441520,3785200,4205980,4602750,5027030,5480710,5965830,6537820,3/4/2025 0:34
153,18,10,198400,0.1,992000,114913,264199,486658,727124,1007470,1289950,1635810,1968660,2328180,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
154,18,15,144200,0.1,721000,83007,190915,351911,525892,728743,933015,1183210,1423790,1683570,2008520,2315040,2646030,3003440,3389400,3900000,,,,,,,,,,,3/4/2025 0:34
155,18,20,118500,0.1,592500,67878.4,156165,288018,430474,596578,763767,968597,1165420,1377920,1643830,1894450,2165020,2457140,2772500,3173820,3546310,3948470,4382650,4851400,5450000,,,,,,3/4/2025 0:34
156,18,25,103400,0.1,517000,58989.5,135748,250478,374411,518924,664325,842504,1013620,1198330,1429560,1647340,1882410,2136150,2410040,2758780,3082190,3431290,3808130,4214890,4707050,5185290,5701530,6258770,6860280,7600000,3/4/2025 0:34
157,19,10,198400,0.1,992000,114913,264152,486581,727028,1007370,1289840,1635680,1968530,2328040,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
158,19,15,144200,0.1,721000,83007,190880,351856,525821,728665,932931,1183120,1423690,1683470,2008410,2314910,2645890,3003300,3389240,3900000,,,,,,,,,,,3/4/2025 0:34
159,19,20,118500,0.1,592500,67878.4,156137,287973,430415,596514,763697,968522,1165340,1377830,1643740,1894350,2164910,2457020,2772370,3173680,3546160,3948310,4382480,4851210,5450000,,,,,,3/4/2025 0:34
160,19,25,103400,0.1,517000,58989.5,135723,250438,374360,518868,664264,842438,1013550,1198250,1429470,1647250,1882310,2136050,2409930,2758650,3082060,3431150,3807970,4214720,4706870,5185100,5701320,6258540,6860030,7600000,3/4/2025 0:34
161,20,10,198400,0.1,992000,114884,264086,486485,726904,1007230,1289690,1635520,1968350,2327850,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
162,20,15,144200,0.1,721000,82986.5,190832,351785,525731,728567,932824,1183000,1423560,1683330,2008260,2314760,2645720,3003110,3389040,3900000,,,,,,,,,,,3/4/2025 0:34
163,20,20,118500,0.1,592500,67861.4,156097,287915,430341,596432,763609,968427,1165240,1377720,1643620,1894220,2164770,2456860,2772210,3173500,3545970,3948100,4382250,4850970,5450000,,,,,,3/4/2025 0:34
164,20,25,103500,0.1,517500,59033.6,135824,250636,374666,519311,664846,843190,1014470,1199350,1430790,1648770,1884060,2138040,2412190,2761250,3084960,3434400,3811580,4218730,4711350,5190050,5706770,6264530,6866610,7600000,3/4/2025 0:34
165,21,10,198500,0.1,992500,114922,264163,486636,727156,1007620,1290210,1636210,1969190,2328870,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
166,21,15,144200,0.1,721000,82971,190789,351714,525644,728471,932721,1182890,1423440,1683200,2008120,2314600,2645560,3002940,3388850,3900000,,,,,,,,,,,3/4/2025 0:34
167,21,20,118500,0.1,592500,67848.8,156062,287856,430270,596354,763524,968335,1165140,1377610,1643500,1894090,2164640,2456720,2772050,3173330,3545790,3947900,4382040,4850740,5450000,,,,,,3/4/2025 0:34
168,21,25,103500,0.1,517500,59022.5,135793,250585,374604,519242,664771,843109,1014380,1199250,1430690,1648660,1883940,2137910,2412050,2761100,3084800,3434220,3811390,4218520,4711130,5189810,5706510,6264260,6866310,7600000,3/4/2025 0:34
169,22,10,198500,0.1,992500,114901,264092,486535,727027,1007470,1290060,1636040,1969020,2328670,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
170,22,15,144200,0.1,721000,82955.6,190738,351641,525551,728369,932610,1182770,1423310,1683060,2007970,2314440,2645380,3002750,3388640,3900000,,,,,,,,,,,3/4/2025 0:34
171,22,20,118500,0.1,592500,67836.1,156020,287796,430192,596269,763433,968236,1165030,1377500,1643380,1893960,2164490,2456560,2771880,3173140,3545590,3947690,4381800,4850490,5450000,,,,,,3/4/2025 0:34
172,22,25,103500,0.1,517500,59011.5,135757,250532,374536,519168,664691,843023,1014290,1199150,1430580,1648540,1883820,2137770,2411900,2760940,3084630,3434030,3811190,4218300,4710890,5189550,5706230,6263950,6865980,7600000,3/4/2025 0:34
173,23,10,198500,0.1,992500,114872,264026,486429,726899,1007330,1289900,1635880,1968840,2328480,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
174,23,15,144200,0.1,721000,82935,190690,351564,525457,728266,932499,1182650,1423180,1682920,2007820,2314280,2645200,3002550,3388440,3900000,,,,,,,,,,,3/4/2025 0:34
175,23,20,118500,0.1,592500,67819.2,155981,287733,430116,596184,763341,968137,1164930,1377380,1643250,1893820,2164340,2456400,2771710,3172960,3545390,3947470,4381570,4850230,5450000,,,,,,3/4/2025 0:34
176,23,25,103500,0.1,517500,58996.7,135722,250477,374469,519094,664611,842936,1014190,1199050,1430470,1648420,1883690,2137640,2411750,2760770,3084450,3433840,3810980,4218080,4710660,5189290,5705950,6263650,6865660,7600000,3/4/2025 0:34
177,24,10,198500,0.1,992500,114851,263956,486328,726766,1007190,1289740,1635710,1968650,2328280,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
178,24,15,144200,0.1,721000,82919.6,190639,351490,525360,728159,932383,1182520,1423050,1682780,2007660,2314110,2645020,3002360,3388220,3900000,,,,,,,,,,,3/4/2025 0:34
179,24,20,118500,0.1,592500,67806.5,155938,287672,430035,596096,763246,968034,1164820,1377260,1643120,1893680,2164190,2456240,2771530,3172770,3545180,3947250,4381330,4849970,5450000,,,,,,3/4/2025 0:34
180,24,25,103500,0.1,517500,58985.6,135685,250424,374398,519016,664527,842845,1014100,1198940,1430350,1648300,1883550,2137490,2411590,2760600,3084270,3433650,3810770,4217850,4710410,5189020,5705660,6263340,6865320,7600000,3/4/2025 0:34
181,25,10,198500,0.1,992500,114823,263889,486214,726619,1007030,1289570,1635520,1968450,2328060,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
182,25,15,144200,0.1,721000,82899,190591,351407,525253,728042,932257,1182390,1422900,1682620,2007490,2313920,2644820,3002140,3387990,3900000,,,,,,,,,,,3/4/2025 0:34
183,25,20,118500,0.1,592500,67789.6,155899,287604,429947,595999,763141,967921,1164690,1377130,1642980,1893530,2164030,2456060,2771340,3172560,3544950,3947000,4381060,4849680,5450000,,,,,,3/4/2025 0:34
184,25,25,103500,0.1,517500,58970.8,135651,250364,374321,518931,664435,842746,1013990,1198830,1430230,1648160,1883410,2137330,2411420,2760420,3084070,3433430,3810540,4217600,4710130,5188730,5705340,6263000,6864950,7600000,3/4/2025 0:34
185,26,10,198500,0.1,992500,114802,263807,486083,726458,1006850,1289380,1635310,1968230,2327820,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
186,26,15,144200,0.1,721000,82883.6,190531,351312,525136,727913,932117,1182240,1422740,1682440,2007300,2313710,2644590,3001900,3387730,3900000,,,,,,,,,,,3/4/2025 0:34
187,26,20,118500,0.1,592500,67776.9,155850,287525,429851,595893,763026,967797,1164560,1376980,1642820,1893360,2163840,2455860,2771120,3172320,3544700,3946730,4380770,4849370,5450000,,,,,,3/4/2025 0:34
188,26,25,103500,0.1,517500,58959.8,135608,250295,374237,518838,664334,842637,1013870,1198700,1430090,1648010,1883250,2137160,2411240,2760220,3083850,3433190,3810280,4217320,4709830,5188400,5704990,6262620,6864540,7600000,3/4/2025 0:34
189,27,10,198600,0.1,993000,114825,263845,486192,726649,1007170,1289820,1635920,1968980,2328740,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
190,27,15,144200,0.1,721000,82857.9,190460,351210,525005,727768,931961,1182070,1422560,1682240,2007080,2313480,2644350,3001630,3387440,3900000,,,,,,,,,,,3/4/2025 0:34
191,27,20,118500,0.1,592500,67755.8,155791,287442,429743,595774,762897,967658,1164410,1376820,1642640,1893170,2163640,2455640,2770880,3172060,3544420,3946430,4380440,4849010,5450000,,,,,,3/4/2025 0:34
192,27,25,103500,0.1,517500,58941.3,135557,250222,374143,518734,664222,842515,1013740,1198560,1429940,1647850,1883070,2136960,2411020,2759990,3083610,3432930,3809990,4217010,4709500,5188040,5704600,6262190,6864080,7600000,3/4/2025 0:34
193,28,10,198600,0.1,993000,114790,263759,486048,726456,1006950,1289600,1635670,1968720,2328450,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
194,28,15,144300,0.1,721500,82890.9,190533,351354,525235,728127,932452,1182720,1423360,1683220,2008270,2314870,2645950,3003460,3389520,3900000,,,,,,,,,,,3/4/2025 0:34
195,28,20,118600,0.1,593000,67793.4,155875,287604,429997,596159,763417,968343,1165250,1377830,1643870,1894600,2165290,2457520,2773020,3174530,3547190,3949530,4383890,4852850,5450000,,,,,,3/4/2025 0:34
196,28,25,103500,0.1,517500,58922.8,135512,250147,374041,518622,664101,842384,1013600,1198410,1429770,1647670,1882870,2136760,2410800,2759750,3083340,3432640,3809690,4216680,4709140,5187650,5704180,6261740,6863590,7600000,3/4/2025 0:34
197,29,10,198600,0.1,993000,114761,263657,485870,726235,1006710,1289330,1635390,1968410,2328120,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
198,29,15,144300,0.1,721500,82870.4,190458,351224,525074,727950,932260,1182510,1423140,1682980,2008010,2314590,2645640,3003130,3389170,3900000,,,,,,,,,,,3/4/2025 0:34
199,29,20,118600,0.1,593000,67776.5,155814,287497,429865,596013,763259,968172,1165070,1377630,1643660,1894370,2165030,2457250,2772730,3174210,3546850,3949150,4383490,4852410,5450000,,,,,,3/4/2025 0:34
200,29,25,103500,0.1,517500,58908.1,135459,250054,373925,518494,663962,842235,1013440,1198230,1429580,1647470,1882650,2136520,2410540,2759470,3083040,3432320,3809330,4216300,4708730,5187210,5703700,6261220,6863030,7600000,3/4/2025 0:34
201,30,10,198600,0.1,993000,114719,263516,485667,725977,1006430,1289030,1635050,1968050,2327730,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
202,30,15,144300,0.1,721500,82839.5,190356,351077,524886,727743,932037,1182270,1422880,1682700,2007710,2314260,2645290,3002750,3388750,3900000,,,,,,,,,,,3/4/2025 0:34
203,30,20,118600,0.1,593000,67751.1,155730,287375,429710,595842,763074,967972,1164850,1377400,1643410,1894090,2164740,2456930,2772390,3173840,3546450,3948720,4383020,4851910,5450000,,,,,,3/4/2025 0:34
204,30,25,103500,0.1,517500,58885.9,135385,249948,373789,518344,663801,842060,1013250,1198030,1429360,1647230,1882400,2136240,2410240,2759140,3082690,3431940,3808920,4215860,4708250,5186690,5703140,6260610,6862370,7600000,3/4/2025 0:34
205,31,10,198700,0.1,993500,114721,263518,485704,726080,1006650,1289370,1635550,1968690,2328520,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
206,31,15,144300,0.1,721500,82798.3,190260,350923,524691,727529,931805,1182020,1422610,1682400,2007390,2313920,2644920,3002350,3388320,3900000,,,,,,,,,,,3/4/2025 0:34
207,31,20,118600,0.1,593000,67717.2,155650,287249,429550,595666,762883,967766,1164630,1377160,1643150,1893810,2164440,2456600,2772030,3173460,3546030,3948270,4382540,4851380,5450000,,,,,,3/4/2025 0:34
208,31,25,103500,0.1,517500,58856.4,135316,249837,373649,518189,663633,841880,1013050,1197820,1429130,1646980,1882130,2135950,2409930,2758800,3082320,3431540,3808500,4215400,4707750,5186150,5702560,6259990,6861700,7600000,3/4/2025 0:34
209,32,10,198700,0.1,993500,114678,263377,485483,725794,1006330,1289030,1635180,1968290,2328090,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
210,32,15,144300,0.1,721500,82767.4,190157,350762,524483,727299,931557,1181750,1422320,1682090,2007050,2313550,2644520,3001920,3387860,3900000,,,,,,,,,,,3/4/2025 0:34
211,32,20,118600,0.1,593000,67691.8,155566,287117,429378,595476,762678,967544,1164390,1376900,1642870,1893510,2164110,2456250,2771650,3173050,3545580,3947790,4382020,4850820,5450000,,,,,,3/4/2025 0:34
212,32,25,103500,0.1,517500,58834.2,135242,249722,373499,518023,663454,841685,1012840,1197590,1428890,1646720,1881840,2135640,2409590,2758440,3081930,3431120,3808040,4214900,4707220,5185580,5701930,6259310,6860970,7600000,3/4/2025 0:34
213,33,10,198700,0.1,993500,114622,263221,485229,725471,1005980,1288640,1634760,1967840,2327610,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
214,33,15,144300,0.1,721500,82726.2,190043,350578,524247,727040,931277,1181450,1421990,1681740,2006670,2313140,2644080,3001440,3387330,3900000,,,,,,,,,,,3/4/2025 0:34
215,33,20,118600,0.1,593000,67658,155472,286965,429184,595262,762447,967294,1164120,1376610,1642550,1893170,2163740,2455850,2771220,3172580,3545080,3947240,4381430,4850180,5450000,,,,,,3/4/2025 0:34
216,33,25,103500,0.1,517500,58804.6,135160,249589,373329,517836,663251,841466,1012610,1197330,1428610,1646420,1881520,2135290,2409220,2758040,3081490,3430640,3807530,4214340,4706620,5184920,5701230,6258550,6860140,7600000,3/4/2025 0:34
217,34,10,198800,0.1,994000,114624,263175,485197,725480,1006090,1288870,1635130,1968340,2328250,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
218,34,15,144400,0.1,722000,82743.7,190047,350621,524354,727263,931620,1181950,1422630,1682530,2007660,2314310,2645450,3003020,3389150,3900000,,,,,,,,,,,3/4/2025 0:34
219,34,20,118600,0.1,593000,67624.1,155365,286797,428967,595023,762189,967015,1163820,1376280,1642200,1892790,2163330,2455410,2770730,3172060,3544520,3946640,4380770,4849470,5450000,,,,,,3/4/2025 0:34
220,34,25,103600,0.1,518000,58833.7,135201,249690,373510,518139,663682,842055,1013340,1198230,1429720,1647720,1883030,2137020,2411190,2760320,3084070,3433530,3810750,4217930,4710650,5189390,5706160,6263980,6866110,7600000,3/4/2025 0:34
221,35,10,198800,0.1,994000,114553,262979,484883,725078,1005660,1288400,1634620,1967790,2327650,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
222,35,15,144400,0.1,722000,82692.2,189904,350393,524061,726943,931275,1181570,1422230,1682090,2007190,2313800,2644890,3002420,3388500,3900000,,,,,,,,,,,3/4/2025 0:34
223,35,20,118600,0.1,593000,67581.8,155248,286609,428726,594759,761904,966707,1163480,1375920,1641810,1892370,2162870,2454910,2770200,3171490,3543900,3945960,4380040,4848690,5450000,,,,,,3/4/2025 0:34
224,35,25,103600,0.1,518000,58796.7,135098,249525,373299,517908,663432,841785,1013050,1197920,1429380,1647350,1882630,2136590,2410730,2759820,3083530,3432940,3810120,4217250,4709910,5188580,5705290,6263040,6865100,7600000,3/4/2025 0:34
225,36,10,198900,0.1,994500,114540,262894,484782,725042,1005730,1288570,1634940,1968230,2328240,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
226,36,15,144400,0.1,722000,82640.6,189745,350140,523766,726621,930926,1181200,1421820,1681650,2006710,2313280,2644340,3001820,3387850,3900000,,,,,,,,,,,3/4/2025 0:34
227,36,20,118700,0.1,593500,67598,155251,286648,428852,595006,762273,967229,1164150,1376750,1642830,1893580,2164280,2456540,2772060,3173650,3546340,3948710,4383110,4852110,5450000,,,,,,3/4/2025 0:34
228,36,25,103600,0.1,518000,58759.7,134984,249343,373086,517676,663181,841513,1012760,1197600,1429030,1646980,1882230,2136160,2410260,2759320,3082980,3432350,3809480,4216560,4709160,5187780,5704420,6262100,6864080,7600000,3/4/2025 0:34
229,37,10,198900,0.1,994500,114455,262647,484463,724668,1005320,1288130,1634460,1967720,2327680,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
230,37,15,144400,0.1,722000,82578.8,189565,349908,523494,726323,930604,1180850,1421440,1681240,2006270,2312810,2643820,3001270,3387250,3900000,,,,,,,,,,,3/4/2025 0:34
231,37,20,118700,0.1,593500,67547.2,155103,286457,428628,594760,762007,966942,1163840,1376410,1642470,1893180,2163860,2456080,2771570,3173120,3545760,3948080,4382440,4851380,5450000,,,,,,3/4/2025 0:34
232,37,25,103600,0.1,518000,58715.3,134855,249177,372890,517461,662948,841262,1012490,1197310,1428720,1646630,1881860,2135760,2409830,2758850,3082470,3431810,3808890,4215920,4708470,5187030,5703610,6261230,6863140,7600000,3/4/2025 0:34
233,38,10,198900,0.1,994500,114363,262475,484227,724377,1005000,1287790,1634090,1967310,2327240,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
234,38,15,144500,0.1,722500,82570.3,189575,349983,523651,726603,931009,1181410,1422150,1682110,2007340,2314070,2645290,3002960,3389180,3900000,,,,,,,,,,,3/4/2025 0:34
235,38,20,118700,0.1,593500,67492.1,155000,286315,428454,594569,761801,966719,1163600,1376150,1642190,1892880,2163530,2455730,2771180,3172700,3545310,3947600,4381910,4850810,5450000,,,,,,3/4/2025 0:34
236,38,25,103600,0.1,518000,58667.3,134765,249053,372738,517294,662768,841067,1012280,1197080,1428470,1646370,1881570,2135450,2409490,2758480,3082080,3431380,3808430,4215420,4707930,5186450,5702980,6260550,6862400,7600000,3/4/2025 0:34
237,39,10,199000,0.1,995000,114379,262492,484286,724510,1005250,1288160,1634610,1967980,2328070,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
238,39,15,144500,0.1,722500,82539.4,189489,349846,523479,726410,930801,1181180,1421910,1681850,2007060,2313760,2644960,3002600,3388790,3900000,,,,,,,,,,,3/4/2025 0:34
239,39,20,118700,0.1,593500,67466.7,154930,286203,428312,594410,761629,966533,1163400,1375930,1641950,1892630,2163260,2455430,2770860,3172350,3544940,3947190,4381470,4850340,5450000,,,,,,3/4/2025 0:34
240,39,25,103600,0.1,518000,58645.1,134704,248955,372614,517154,662617,840904,1012100,1196890,1428270,1646150,1881330,2135190,2409210,2758180,3081750,3431030,3808040,4215000,4707480,5185970,5702460,6259980,6861790,7600000,3/4/2025 0:34
241,40,10,199000,0.1,995000,114336,262362,484086,724221,1004920,1287810,1634230,1967570,2327630,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
242,40,15,144500,0.1,722500,82508.4,189395,349701,523268,726173,930545,1180910,1421610,1681530,2006710,2313390,2644550,3002160,3388320,3900000,,,,,,,,,,,3/4/2025 0:34
243,40,20,118700,0.1,593500,67441.2,154853,286084,428139,594214,761417,966304,1163150,1375670,1641660,1892310,2162920,2455070,2770470,3171930,3544480,3946700,4380940,4849750,5450000,,,,,,3/4/2025 0:34
244,40,25,103600,0.1,518000,58622.9,134636,248850,372462,516982,662431,840703,1011880,1196660,1428010,1645870,1881030,2134870,2408860,2757810,3081350,3430590,3807570,4214500,4706930,5185370,5701810,6259280,6861040,7600000,3/4/2025 0:34
245,41,10,199000,0.1,995000,114287,262225,483810,723825,1004480,1287330,1633710,1967010,2327020,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
246,41,15,144500,0.1,722500,82472.3,189295,349500,522979,725848,930194,1180530,1421200,1681080,2006230,2312870,2643990,3001550,3387660,3900000,,,,,,,,,,,3/4/2025 0:34
247,41,20,118700,0.1,593500,67411.6,154771,285918,427900,593946,761127,965990,1162810,1375300,1641270,1891890,2162460,2454560,2769930,3171340,3543850,3946010,4380200,4848960,5450000,,,,,,3/4/2025 0:34
248,41,25,103600,0.1,518000,58597,134564,248706,372253,516747,662176,840428,1011590,1196330,1427660,1645500,1880630,2134430,2408390,2757290,3080790,3429990,3806920,4213790,4706180,5184550,5700930,6258330,6860010,7600000,3/4/2025 0:34
249,42,10,199100,0.1,995500,114295,262126,483633,723599,1004340,1287280,1633780,1967190,2327310,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
250,42,15,144600,0.1,723000,82494.6,189260,349438,522915,725881,930331,1180800,1421600,1681620,2006940,2313740,2645030,3002780,3389090,3900000,,,,,,,,,,,3/4/2025 0:34
251,42,20,118800,0.1,594000,67440.3,154765,285911,427912,594061,761354,966360,1163310,1375950,1642100,1892890,2163640,2455950,2771530,3173220,3545980,3948420,4382910,4851990,5450000,,,,,,3/4/2025 0:34
252,42,25,103700,0.1,518500,58629.4,134577,248730,372310,516911,662457,840854,1012150,1197050,1428570,1646570,1881890,2135900,2410080,2759280,3083040,3432520,3809770,4216970,4709760,5188530,5705330,6263190,6865370,7600000,3/4/2025 0:34
253,43,10,199200,0.1,996000,114247,261905,483256,723185,1003980,1286990,1633590,1967090,2327310,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
254,43,15,144600,0.1,723000,82417.1,189002,348985,522345,725244,929644,1180060,1420790,1680750,2006000,2312720,2643940,3001590,3387810,3900000,,,,,,,,,,,3/4/2025 0:34
255,43,20,118800,0.1,594000,67376.6,154553,285538,427442,593536,760787,965746,1162650,1375230,1641320,1892050,2162730,2454970,2770470,3172080,3544750,3947090,4381460,4850420,5450000,,,,,,3/4/2025 0:34
256,43,25,103700,0.1,518500,58573.9,134392,248404,371899,516451,661959,840316,1011570,1196420,1427890,1645840,1881100,2135050,2409160,2758280,3081960,3431350,3808500,4215600,4708280,5186930,5703610,6261320,6863350,7600000,3/4/2025 0:34
257,44,10,199300,0.1,996500,114163,261550,482784,722578,1003410,1286480,1633160,1966730,2327020,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
258,44,15,144700,0.1,723500,82372.1,188780,348708,522003,724966,929445,1179960,1420800,1680850,2006250,2313090,2644440,3002240,3388610,3900000,,,,,,,,,,,3/4/2025 0:34
259,44,20,118800,0.1,594000,67291.8,154261,285108,426858,592885,760083,964986,1161830,1374340,1640360,1891010,2161610,2453760,2769160,3170660,3543220,3945430,4379670,4848490,5450000,,,,,,3/4/2025 0:34
260,44,25,103700,0.1,518500,58499.8,134136,248029,371387,515880,661343,839650,1010850,1195640,1427050,1644930,1880120,2133980,2408010,2757040,3080620,3429900,3806930,4213910,4706450,5184950,5701470,6259010,6860850,7600000,3/4/2025 0:34
261,45,10,199400,0.1,997000,114022,261204,482166,721813,1002660,1285780,1632530,1966140,2326490,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
262,45,15,144700,0.1,723500,82227.5,188432,348080,521178,724049,928455,1178890,1419640,1679600,2004900,2311630,2642860,3000530,3386770,3900000,,,,,,,,,,,3/4/2025 0:34
263,45,20,118900,0.1,594500,67231.1,154108,284837,426545,592638,759919,964932,1161870,1374490,1640660,1891430,2162170,2454460,2770030,3171760,3544500,3946920,4381390,4850440,5450000,,,,,,3/4/2025 0:34
264,45,25,103800,0.1,519000,58454.2,134019,247823,371160,515727,661280,839706,1011010,1195920,1427480,1645500,1880840,2134870,2409060,2758330,3082120,3431630,3808900,4216140,4709020,5187830,5704680,6262590,6864810,7600000,3/4/2025 0:34
265,46,10,199600,0.1,998000,113982,260820,481607,721190,1002170,1285460,1632430,1966240,2326800,2800000,,,,,,,,,,,,,,,,3/4/2025 0:34
