id,age,term,annual_contribution,growth_rate,takaful_benefit,year_one,year_two,year_three,year_four,year_five,year_six,year_seven,year_eight,year_nine,year_ten,year_eleven,year_twelve,year_thirteen,year_fourteen,year_fifteen,year_sixteen,year_seventeen,year_eighteen,year_nineteen,year_twenty,year_twenty_one,year_twenty_two,year_twenty_three,year_twenty_four,year_twenty_five,created_at
31,25,20,118500,0.09,592500,67164.2,153800,282726,420794,580750,739860,934173,1117950,1314520,1560970,1788460,2031800,2292090,2570500,2928580,3251380,3596660,3965960,4360960,4843720,,,,,,3/4/2025 0:34
32,25,25,103500,0.09,517500,58425.8,133822,246116,366349,505650,644158,813355,973277,1144310,1358820,1556680,1768280,1994570,2236570,2548020,2828520,3128470,3449230,3792240,4211690,4607650,5031060,5483800,5967920,6538220,3/4/2025 0:34
33,26,10,198500,0.09,992500,113748,260265,477851,711009,981110,1250080,1578340,1889300,2222100,2638880,,,,,,,,,,,,,,,,3/4/2025 0:34
34,26,15,144200,0.09,721000,82120.7,187969,345357,513961,709295,903691,1141030,1365660,1605990,1907150,2185400,2483100,2801610,3142390,3580340,,,,,,,,,,,3/4/2025 0:34
35,26,20,118500,0.09,592500,67151.6,153751,282648,420699,580645,739747,934052,1117820,1314390,1560820,1788300,2031630,2291900,2570300,2928370,3251160,3596420,3965700,4360680,4843430,,,,,,3/4/2025 0:34
36,26,25,103500,0.09,517500,58414.8,133779,246047,366266,505558,644059,813249,973163,1144190,1358690,1556540,1768130,1994410,2236400,2547840,2828320,3128260,3449010,3792000,4211430,4607370,5030760,5483490,5967580,6537860,3/4/2025 0:34
37,27,10,198600,0.09,993000,113771,260302,477957,711195,981415,1250510,1578920,1890020,2222980,2639950,,,,,,,,,,,,,,,,3/4/2025 0:34
38,27,15,144200,0.09,721000,82095.1,187898,345257,513832,709151,903537,1140860,1365480,1605800,1906950,2185180,2482870,2801360,3142120,3580060,,,,,,,,,,,3/4/2025 0:34
39,27,20,118500,0.09,592500,67130.6,153693,282565,420593,580527,739620,933917,1117670,1314230,1560660,1788130,2031440,2291700,2570080,2928130,3250910,3596150,3965410,4360370,4843100,,,,,,3/4/2025 0:34
40,27,25,103500,0.09,517500,58396.4,133729,245975,366173,505454,643948,813130,973036,1144050,1358540,1556380,1767960,1994230,2236210,2547630,2828100,3128020,3448750,3791730,4211140,4607060,5030430,5483130,5967200,6537450,3/4/2025 0:34
